name,rating,reviews,salary,interviews,jobs,benefits
Grasim Industries,4.0,4100.0,13800.0,303.0,9.0,306.0
Pidilite Industries,4.2,4100.0,12400.0,278.0,11.0,368.0
Aditya Birla Sun Life Insurance,4.0,4100.0,10700.0,196.0,1.0,221.0
Alembic Pharmaceuticals,3.9,4100.0,16100.000000000002,276.0,52.0,395.0
Bank of America,4.1,4100.0,30900.0,299.0,,423.0
Aditya Birla Capital,3.8,4000.0,14600.0,277.0,1.0,231.0
American Express,4.1,4000.0,26300.0,447.0,263.0,465.0
Kyndryl,3.9,4000.0,28900.0,243.0,721.0,186.0
PNB MetLife,3.3,4000.0,8200.0,203.0,2.0,226.0
KPIT Technologies,2.8,4000.0,24700.0,360.0,13.0,301.0
Oyo Rooms,3.0,4000.0,13200.0,271.0,150.0,397.0
Subros,3.7,4000.0,12900.0,237.0,1.0,403.0
Escorts Kubota Limited,4.1,4000.0,14100.0,323.0,6.0,287.0
Blinkit,3.8,4000.0,15200.0,417.0,1.0,250.0
ADP Private Limited,3.8,4000.0,22400.0,307.0,23.0,474.0
JK Cement,4.0,4000.0,10300.0,365.0,10.0,281.0
Maersk,3.9,3900.0,20200.0,257.0,71.0,442.0
PhonePe,4.0,3900.0,14900.0,461.0,39.0,214.0
Viatris,4.1,3900.0,14500.0,174.0,10.0,513.0
PVR INOX,3.9,3900.0,9700.0,228.0,38.0,254.0
XpressBees,4.1,3900.0,8400.0,450.0,5.0,164.0
Altruist Technologies,4.3,3900.0,8500.0,728.0,4.0,86.0
Birlasoft,3.4,3900.0,29700.0,324.0,526.0,259.0
Synechron,3.4,3900.0,29500.0,420.0,157.0,265.0
Glenmark Pharmaceuticals,3.8,3900.0,12500.0,200.0,201.0,340.0
Sodexo,4.0,3900.0,10300.0,221.0,1300.0,374.0
Kotak Mahindra Life Insurance Company,3.4,3900.0,12800.0,271.0,291.0,269.0
Bharat Electronics,4.2,3800.0,13000.0,260.0,,316.0
Reliance Communications,4.0,3800.0,9500.0,111.0,,358.0
Dabur,3.8,3800.0,9000.0,356.0,32.0,285.0
UNO Minda,3.9,3800.0,12100.0,288.0,204.0,318.0
Cogent E Services,3.1,3800.0,10600.0,301.0,3.0,223.0
ArcelorMittal Nippon Steel India,4.1,3800.0,13500.0,291.0,294.0,140.0
Godrej & Boyce Manufacturing,3.8,3700.0,15300.0,249.0,40.0,412.0
Abbott,4.1,3700.0,12200.0,195.0,185.0,371.0
Aarti Industries,4.1,3700.0,14600.0,345.0,107.0,366.0
Ipca Laboratories,3.8,3700.0,11700.0,228.0,43.0,251.0
